Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,A,8.5,e,1,X,9.5,e,2,31563.8207794973,1.14584227403352E-7,33624.5606,2060.73982050268,0.100217513120394,164726.422032845,0,oP12(9.5),A v=0 8.5  8 F1e - X v=0 9.5 10 F2e
LinearMolecule,A,7.5,e,1,X,8.5,e,2,31661.7946413529,7.28533310767929E-7,33353.1006,1691.30595864708,0.10834160317649,202211.243931021,0,oP12(8.5),A v=0 7.5  7 F1e - X v=0 8.5  9 F2e
LinearMolecule,A,10.5,f,1,X,11.5,f,2,31732.2183947438,7.76499090708096E-8,34640.1606,2907.94220525623,3.94956946136544,5396992.59005264,0,pP2(11.5),A v=0 10.5 11 F2f - X v=0 11.5 12 F2f
LinearMolecule,A,6.5,e,1,X,7.5,e,2,31756.1585084979,3.87325724850673E-6,33115.5606,1359.40209150208,0.117251486350479,252346.709882457,0,oP12(7.5),A v=0 6.5  6 F1e - X v=0 7.5  8 F2e
LinearMolecule,A,11.5,e,1,X,12.5,e,1,31767.029570013,1.01701834706518E-7,34642.4606,2875.43102998698,4.42610691795326,5562421.86215294,0,pP1(12.5),A v=0 11.5 11 F1e - X v=0 12.5 12 F1e
LinearMolecule,A,9.5,f,1,X,10.5,f,2,31802.6418339358,5.93664109240056E-7,34267.1406,2464.49876606418,3.60019720809686,5447651.69162913,0,pP2(10.5),A v=0 9.5 10 F2f - X v=0 10.5 11 F2f
LinearMolecule,A,10.5,e,1,X,10.5,f,2,31804.7418339358,5.23272384137807E-8,34269.2406,2464.49876606418,0.317331593257114,436605.998281251,0,pQ12(10.5),A v=0 10.5 10 F1e - X v=0 10.5 11 F2f
LinearMolecule,A,10.5,e,1,X,11.5,e,1,31839.6494255382,7.96860229480859E-7,34269.2406,2429.5911744618,4.08752664803934,5642430.13644667,0,pP1(11.5),A v=0 10.5 10 F1e - X v=0 11.5 11 F1e
LinearMolecule,A,5.5,e,1,X,6.5,e,2,31846.7896943552,1.71672042587722E-5,32911.9406,1065.15090564482,0.126725030379243,320923.544625537,0,oP12(6.5),A v=0 5.5  5 F1e - X v=0 6.5  7 F2e
LinearMolecule,A,8.5,f,1,X,9.5,f,2,31869.6893662516,3.75703856381581E-6,33928.0406,2058.35123374843,3.24854869506381,5496342.78168371,0,pP2(9.5),A v=0 8.5  9 F2f - X v=0 9.5 10 F2f
LinearMolecule,A,9.5,e,1,X,9.5,f,2,31871.5893662516,3.9374395757482E-7,33929.9406,2058.35123374843,0.340453364489779,518516.094522869,0,pQ12(9.5),A v=0 9.5  9 F1e - X v=0 9.5 10 F2f
LinearMolecule,A,9.5,e,1,X,10.5,e,1,31909.3183710402,5.19494177353238E-6,33929.9406,2020.62222895977,3.7483557141016,5729105.58834774,0,pP1(10.5),A v=0 9.5  9 F1e - X v=0 10.5 10 F1e
LinearMolecule,A,7.5,f,1,X,8.5,f,2,31933.2974460599,1.96254087210672E-5,33622.8606,1689.56315394009,2.89424015409989,5542035.75429492,0,pP2(8.5),A v=0 7.5  8 F2f - X v=0 8.5  9 F2f
LinearMolecule,A,4.5,e,1,X,5.5,e,2,31933.5153439325,6.30782015457534E-5,32742.2406,808.725256067519,0.136128049338488,417072.209681344,0,oP12(5.5),A v=0 4.5  4 F1e - X v=0 5.5  6 F2e
LinearMolecule,A,8.5,e,1,X,8.5,f,2,31934.9974460599,2.48477638727997E-6,33624.5606,1689.56315394009,0.366440245716009,623813.487474489,0,pQ12(8.5),A v=0 8.5  8 F1e - X v=0 8.5  9 F2f
LinearMolecule,A,8.5,e,1,X,9.5,e,1,31976.0844205027,2.81470002644824E-5,33624.5606,1648.47617949732,3.40855441670417,5825014.55329178,0,pP1(9.5),A v=0 8.5  8 F1e - X v=0 9.5  9 F1e
LinearMolecule,A,6.5,f,1,X,7.5,f,2,31993.3792438597,8.42785465956487E-5,33351.6006,1358.22135614025,2.53687906729583,5583101.38104976,0,pP2(7.5),A v=0 6.5  7 F2f - X v=0 7.5  8 F2f
LinearMolecule,A,7.5,e,1,X,7.5,f,2,31994.8792438598,1.31372033654703E-5,33353.1006,1358.22135614025,0.395444600872967,761606.314924174,0,pQ12(7.5),A v=0 7.5  7 F1e - X v=0 7.5  8 F2f
LinearMolecule,A,3.5,e,1,X,4.5,e,2,32016.0897572602,0.00019008349829845,32606.4606,590.370842739835,0.143950989079128,555588.151404532,0,oP12(4.5),A v=0 3.5  3 F1e - X v=0 4.5  5 F2e
LinearMolecule,A,7.5,e,1,X,8.5,e,1,32040.0121586471,0.000126559772823325,33353.1006,1313.08844135292,3.0681289850588,5934103.1345316,0,pP1(8.5),A v=0 7.5  7 F1e - X v=0 8.5  8 F1e
LinearMolecule,A,5.5,f,1,X,6.5,f,2,32049.8141807996,0.000295797201025505,33114.2606,1064.44641920037,2.17615364318283,5617050.11740657,0,pP2(6.5),A v=0 5.5  6 F2f - X v=0 6.5  7 F2f
LinearMolecule,A,6.5,e,1,X,6.5,f,2,32051.1141807996,5.80779593773057E-5,33115.5606,1064.44641920037,0.427274370580169,945434.930556263,0,pQ12(6.5),A v=0 6.5  6 F1e - X v=0 6.5  7 F2f
LinearMolecule,A,2.5,e,1,X,3.5,e,2,32094.1644708179,0.000459706583077926,32504.6006,410.436129182089,0.146884206768144,761422.166882979,0,oP12(3.5),A v=0 2.5  2 F1e - X v=0 3.5  4 F2e
LinearMolecule,A,6.5,e,1,X,7.5,e,1,32101.1898915021,0.000471324747444482,33115.5606,1014.37070849792,2.72719295809397,6062819.87509093,0,pP1(7.5),A v=0 6.5  6 F1e - X v=0 7.5  7 F1e
LinearMolecule,A,4.5,f,1,X,5.5,f,2,32102.4323880597,0.000840932375313346,32910.8406,808.408211940294,1.81204524910815,5640353.20473745,0,pP2(5.5),A v=0 4.5  5 F2f - X v=0 5.5  6 F2f
LinearMolecule,A,5.5,e,1,X,5.5,f,2,32103.5323880597,0.000213911580959818,32911.9406,808.408211940294,0.460937734574695,1195756.97362109,0,pQ12(5.5),A v=0 5.5  5 F1e - X v=0 5.5  6 F2f
LinearMolecule,A,11.5,f,1,X,11.5,e,2,32135.2325744618,1.48904069446489E-7,35047.1006,2911.8680255382,7.71777727143442,10040348.4231656,0,qQ2(11.5),A v=0 11.5 12 F2f - X v=0 11.5 12 F2e
LinearMolecule,A,3.5,f,1,X,4.5,f,2,32150.9922585561,0.0019086720557546,32741.3406,590.348341443899,1.44528896108648,5648996.21492271,0,pP2(4.5),A v=0 3.5  4 F2f - X v=0 4.5  5 F2f
LinearMolecule,A,4.5,e,1,X,4.5,f,2,32151.8922585561,0.00065202414871016,32742.2406,590.348341443899,0.493727197216202,1543938.89219574,0,pQ12(4.5),A v=0 4.5  4 F1e - X v=0 4.5  5 F2f
LinearMolecule,A,5.5,e,1,X,6.5,e,1,32159.7403056448,0.00144994707983609,32911.9406,752.20029435518,2.38609548244127,6222538.8143404,0,pP1(6.5),A v=0 5.5  5 F1e - X v=0 6.5  6 F1e
LinearMolecule,A,1.5,e,1,X,2.5,e,2,32167.2570606023,0.000849834457170375,32436.6606,269.403539397688,0.138063823038044,1080899.79695053,0,oP12(2.5),A v=0 1.5  1 F1e - X v=0 2.5  3 F2e
LinearMolecule,A,12.5,e,1,X,12.5,f,1,32167.3156761952,1.86222130655846E-7,35049.6006,2882.28492380481,8.37529268217851,10087755.5691008,0,qQ1(12.5),A v=0 12.5 12 F1e - X v=0 12.5 12 F1f
LinearMolecule,A,10.5,f,1,X,10.5,e,2,32172.5452289598,1.14210350276188E-6,34640.1606,2467.61537104023,7.03043764943383,10012427.4677102,0,qQ2(10.5),A v=0 10.5 11 F2f - X v=0 10.5 11 F2e
LinearMolecule,A,11.5,e,1,X,10.5,e,2,32174.8452289598,3.41117699091573E-8,34642.4606,2467.61537104023,0.209981556731259,274184.406232086,0,qR12(10.5),A v=0 11.5 11 F1e - X v=0 10.5 11 F2e
LinearMolecule,A,2.5,f,1,X,3.5,f,2,32195.1504456815,0.00337184975913065,32605.7606,410.610154318471,1.07826389099588,5642461.83830864,0,pP2(3.5),A v=0 2.5  3 F2f - X v=0 3.5  4 F2f
LinearMolecule,A,3.5,e,1,X,3.5,f,2,32195.8504456815,0.00162460450242782,32606.4606,410.610154318471,0.519522664784714,2039095.93353227,0,pQ12(3.5),A v=0 3.5  3 F1e - X v=0 3.5  4 F2f
LinearMolecule,A,10.5,f,1,X,11.5,f,1,32204.7620052562,4.25342968067227E-8,34640.1606,2435.39859474377,0.224343582112818,320460.638650363,0,qP21(11.5),A v=0 10.5 11 F2f - X v=0 11.5 11 F1f
LinearMolecule,A,9.5,f,1,X,9.5,e,2,32206.4007794973,7.24957452967704E-6,34267.1406,2060.73982050268,6.34061377389823,9964403.96237172,0,qQ2(9.5),A v=0 9.5 10 F2f - X v=0 9.5 10 F2e
LinearMolecule,A,11.5,e,1,X,11.5,f,1,32207.0620052562,1.45784706614643E-6,34642.4606,2435.39859474377,7.6892921135647,10070519.8283557,0,qQ1(11.5),A v=0 11.5 11 F1e - X v=0 11.5 11 F1f
LinearMolecule,A,10.5,e,1,X,9.5,e,2,32208.5007794973,2.58210084161904E-7,34269.2406,2060.73982050268,0.225835379648042,322703.942936504,0,qR12(9.5),A v=0 10.5 10 F1e - X v=0 9.5 10 F2e
LinearMolecule,A,4.5,e,1,X,5.5,e,1,32215.8362560675,0.00367114740497855,32742.2406,526.404343932481,2.04569013247969,6435340.34744579,0,pP1(5.5),A v=0 4.5  4 F1e - X v=0 5.5  5 F1e
LinearMolecule,A,1.5,f,1,X,2.5,f,2,32234.4294322777,0.00440336959609339,32504.1006,269.671167722278,0.716288743801736,5643019.35320193,0,pP2(2.5),A v=0 1.5  2 F2f - X v=0 2.5  3 F2f
LinearMolecule,A,0.5,e,1,X,1.5,e,2,32234.7418632129,0.00103740443486973,32402.6406,167.898736787119,0.103579792288613,1632078.60941053,0,oP12(1.5),A v=0 0.5  0 F1e - X v=0 1.5  2 F2e
LinearMolecule,A,2.5,e,1,X,2.5,f,2,32234.9294322777,0.00323522596596593,32504.6006,269.671167722278,0.52626877951204,2764139.58291431,0,pQ12(2.5),A v=0 2.5  2 F1e - X v=0 2.5  3 F2f
LinearMolecule,A,8.5,f,1,X,8.5,e,2,32236.7346413529,3.79801495641813E-5,33928.0406,1691.30595864708,5.64810178456896,9890234.4091668,0,qQ2(8.5),A v=0 8.5  9 F2f - X v=0 8.5  9 F2e
LinearMolecule,A,9.5,e,1,X,8.5,e,2,32238.6346413529,1.6377744087484E-6,33929.9406,1691.30595864708,0.243556612254553,383904.5795751,0,qR12(8.5),A v=0 9.5  9 F1e - X v=0 8.5  9 F2e
LinearMolecule,A,9.5,f,1,X,10.5,f,1,32241.6769660642,3.2644040539709E-7,34267.1406,2025.46363393582,0.241072633172981,380096.810812074,0,qP21(10.5),A v=0 9.5 10 F2f - X v=0 10.5 10 F1f
LinearMolecule,A,10.5,e,1,X,10.5,f,1,32243.7769660642,9.47992360296267E-6,34269.2406,2025.46363393582,7.00081885532812,10036616.4417313,0,qQ1(10.5),A v=0 10.5 10 F1e - X v=0 10.5 10 F1f
LinearMolecule,A,7.5,f,1,X,7.5,e,2,32263.4585084979,0.000163612311733857,33622.8606,1359.40209150208,4.95288216227531,9781246.76727152,0,qQ2(7.5),A v=0 7.5  8 F2f - X v=0 7.5  8 F2e
LinearMolecule,A,8.5,e,1,X,7.5,e,2,32265.1585084979,8.69447474252858E-6,33624.5606,1359.40209150208,0.263199684707542,462101.854179247,0,qR12(7.5),A v=0 8.5  8 F1e - X v=0 7.5  8 F2e
LinearMolecule,A,0.5,f,1,X,1.5,f,2,32268.2041241144,0.00367152577502616,32436.3606,168.15647588564,0.367037423117394,5801338.15321975,0,pP2(1.5),A v=0 0.5  1 F2f - X v=0 1.5  2 F2f
LinearMolecule,A,1.5,e,1,X,1.5,f,2,32268.5041241144,0.00495596291523565,32436.6606,168.15647588564,0.495440851824198,3915540.89801193,0,pQ12(1.5),A v=0 1.5  1 F1e - X v=0 1.5  2 F2f
LinearMolecule,A,3.5,e,1,X,4.5,e,1,32269.7234427398,0.00761152550672987,32606.4606,336.737157260165,1.70790086277272,6749659.17751168,0,pP1(4.5),A v=0 3.5  3 F1e - X v=0 4.5  4 F1e
LinearMolecule,A,8.5,f,1,X,9.5,f,1,32275.6078337484,2.10846795726801E-6,33928.0406,1652.43276625157,0.26022323476075,457320.108993654,0,qP21(9.5),A v=0 8.5  9 F2f - X v=0 9.5  9 F1f
LinearMolecule,A,9.5,e,1,X,9.5,f,1,32277.5078337484,5.1122986174077E-5,33929.9406,1652.43276625157,6.30950486441582,9981336.84058211,0,qQ1(9.5),A v=0 9.5  9 F1e - X v=0 9.5  9 F1f
LinearMolecule,A,6.5,f,1,X,6.5,e,2,32286.4496943552,0.000576469119788574,33351.6006,1065.15090564482,4.25538518775258,9624876.34693165,0,qQ2(6.5),A v=0 6.5  7 F2f - X v=0 6.5  7 F2e
LinearMolecule,A,7.5,e,1,X,6.5,e,2,32287.9496943552,3.85483330367268E-5,33353.1006,1065.15090564482,0.284556448534838,563239.748027721,0,qR12(6.5),A v=0 7.5  7 F1e - X v=0 6.5  7 F2e
LinearMolecule,A,0.5,e,1,X,0.5,f,1,32295.8572,0.0059673873798886,32402.6406,106.7834,0.444444444444444,7042897.65027375,0,pQ12(0.5),A v=0 0.5  0 F1e - X v=0 0.5  1 F2f
LinearMolecule,A,5.5,f,1,X,5.5,e,2,32305.5353439325,0.00164824217939963,33114.2606,808.725256067519,3.5570448621041,9402911.87462682,0,qQ2(5.5),A v=0 5.5  6 F2f - X v=0 5.5  6 F2e
LinearMolecule,A,7.5,f,1,X,8.5,f,1,32306.6181539401,1.14671797050767E-5,33622.8606,1316.24244605991,0.282230434135402,559605.274805733,0,qP21(8.5),A v=0 7.5  8 F2f - X v=0 8.5  8 F1f
LinearMolecule,A,6.5,e,1,X,5.5,e,2,32306.8353439325,0.00014217570167039,33115.5606,808.725256067519,0.30682708855741,695300.21027001,0,qR12(5.5),A v=0 6.5  6 F1e - X v=0 5.5  6 F2e
LinearMolecule,A,8.5,e,1,X,8.5,f,1,32308.3181539401,0.000228139922800357,33624.5606,1316.24244605991,5.6149839028908,9897887.3280057,0,qQ1(8.5),A v=0 8.5  8 F1e - X v=0 8.5  8 F1f
LinearMolecule,A,4.5,f,1,X,4.5,e,2,32320.4697572602,0.00377843681108466,32910.8406,590.370842739835,2.86142522100804,9089475.77106086,0,qQ2(4.5),A v=0 4.5  5 F2f - X v=0 4.5  5 F2e
LinearMolecule,A,5.5,e,1,X,4.5,e,2,32321.5697572602,0.000433058763106236,32911.9406,590.370842739835,0.327957123246163,868233.621655522,0,qR12(4.5),A v=0 5.5  5 F1e - X v=0 4.5  5 F2e
LinearMolecule,A,2.5,e,1,X,3.5,e,1,32321.7503291821,0.0128363557122994,32504.6006,182.850270817911,1.37692531704138,7290665.80249439,0,pP1(3.5),A v=0 2.5  2 F1e - X v=0 3.5  3 F1e
LinearMolecule,A,0.5,f,1,X,0.5,e,1,32329.734,0.00597187654866652,32436.3606,106.6266,0.444444444444444,7065083.88841423,0,qQ2(0.5),A v=0 0.5  1 F2f - X v=0 0.5  1 F2e
